公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
2601,1110912,益航,貿易百貨,529814,465054
2603,1110912,長榮,航運業,57442123,62799441
2605,1110912,新興,航運業,313492,283538
2606,1110912,裕民,航運業,1472657,1651326
2607,1110912,榮運,航運業,2055556,1686328
2609,1110912,陽明,航運業,35089619,36749405
2611,1110912,志信,航運業,65992,66758
2612,1110912,中航,航運業,390907,399538
2613,1110912,中櫃,航運業,269207,273017
2615,1110912,萬海,航運業,21314901,23902539
2616,1110912,山隆,油電燃氣業,1519762,1576509
2617,1110912,台航,航運業,329693,334578
2618,1110912,長榮航,航運業,12014621,11866739
2630,1110912,亞航,航運業,382673,384986
2633,1110912,台灣高鐵,航運業,3366023,2991101
2634,1110912,漢翔,航運業,2555919,2740052
2636,1110912,台驊投控,航運業,1996021,2237452
2637,1110912,慧洋-KY,航運業,2073045,2342621
2642,1110912,宅配通,航運業,401898,379005
2701,1110912,萬企,觀光事業,19414,20132
2702,1110912,華園,觀光事業,132331,150799
2704,1110912,國賓,觀光事業,112335,101444
2706,1110912,第一店,觀光事業,23681,24195
2707,1110912,晶華,觀光事業,525276,468972
2712,1110912,遠雄來,觀光事業,90289,68203
2722,1110912,夏都,觀光事業,114328,118711
2723,1110912,美食-KY,觀光事業,1733154,1636887
2731,1110912,雄獅,觀光事業,256632,197588
2748,1110912,雲品,觀光事業,167123,166842
2801,1110912,彰銀,金融保險業,3265931,3549913
2809,1110912,京城銀,金融保險業,905008,1136280
2812,1110912,台中銀,金融保險業,1440249,1436922
2816,1110912,旺旺保,金融保險業,758209,813502
2820,1110912,華票,金融保險業,249065,73896
2832,1110912,台產,金融保險業,521635,563873
2834,1110912,臺企銀,金融保險業,2563993,2906096
2836,1110912,高雄銀,金融保險業,303639,309915
2845,1110912,遠東銀,金融保險業,1128926,1028245
2849,1110912,安泰銀,金融保險業,517200,460264
2851,1110912,中再保,金融保險業,1791841,1417889
2852,1110912,第一保,金融保險業,631312,640231
2855,1110912,統一證,金融保險業,485770,597285
2880,1110912,華南金,金融保險業,5166107,6118042
2884,1110912,玉山金,金融保險業,4793454,6085993
2886,1110912,兆豐金,金融保險業,4861655,7120270
2887,1110912,台新金,金融保險業,6276645,4579492
2888,1110912,新光金,金融保險業,10398122,8992940
2889,1110912,國票金,金融保險業,579802,676630
2890,1110912,永豐金,金融保險業,4313423,4728509
2891,1110912,中信金,金融保險業,11158103,15576298
2892,1110912,第一金,金融保險業,7045774,7321542
2897,1110912,王道銀行,金融保險業,1005423,893584
2901,1110912,欣欣,貿易百貨,8393,10378
2904,1110912,匯僑,其他,43916,41951
2908,1110912,特力,貿易百貨,2977229,2946815
2910,1110912,統領,貿易百貨,118810,38141
3002,1110912,歐格,電腦及週邊設備業,61625,74758
